Accession,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
MZ729336,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,WA-CDC-UW21071507178,29528,partial,USA: Washington,Homo sapiens,oronasopharynx,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Schmerer,M., Roychoudhury,P., Xie,H., Shrestha,L., Nguyen,T.V., Bakhash,S.M., Lin,M., Baker,N.R., Perez,R., Ellis,S., Breit,N., Livingston,R.J., Huang,M.-L., Jerome,K.R., Mathias,P., Greninger,A., Paden,C.R., MacCannell,D.",2021-07-15,2021-08-09,ssRNA(+)
MH541523,Human immunodeficiency virus 1,Lentivirus humimdef1,,YA107-3-10,1503,partial,China,Homo sapiens,,"Liu,Y., Jia,L., Su,B., Li,H., Li,Z., Han,J., Zhang,Y., Zhang,T., Li,T., Wu,H., Li,J., Li,L.",2009-10-09,2020-06-30,ssRNA-RT
OY636080,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29746,complete,United Kingdom:England,Homo sapiens,,,2022-02-23,2023-08-09,ssRNA(+)
MZ070550,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,PA-CDC-LC0045824,29694,partial,USA: Pennsylvania,Homo sapiens,oronasopharynx,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Jain,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D.",2021-04-09,2021-05-03,ssRNA(+)
OU805404,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29884,complete,United Kingdom:England,Homo sapiens,,,2021-01-02,2021-10-13,ssRNA(+)
OW369639,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29850,partial,United Kingdom:England,Homo sapiens,,"Wynn,J., Hyland,M., The Lighthouse Lab in Alderley,Park., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2022-03-18,2022-04-03,ssRNA(+)
OY912763,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29873,complete,United Kingdom:England,Homo sapiens,,,2021-12-31,2023-12-09,ssRNA(+)
PP123687,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,SEARCH-16365,29846,complete,USA,Homo sapiens,,"Andersen,K.",2020-12-30,2024-01-12,ssRNA(+)
OW044013,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29850,partial,United Kingdom:England,Homo sapiens,,"Wynn,J., Hyland,M., The Lighthouse Lab in Alderley,Park., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2022-02-20,2022-03-06,ssRNA(+)
OD905366,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29903,complete,United Kingdom:England,Homo sapiens,,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2020-11-26,2021-04-23,ssRNA(+)
OY023684,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29326,partial,Germany:Europe/Germany/Baden-Wurttemberg,Homo sapiens,,,2022-09-17,2023-06-22,ssRNA(+)
OX050679,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29885,partial,Denmark:Syddanmark,Homo sapiens,,"Danish Covid-19 Genome,Consortium.",2022-03-14,2022-06-13,ssRNA(+)
MN059418,Garlic virus X,Allexivirus ecsallii,,G73-1,8315,complete,China,Allium sativum,,"Jo,Y., Cho,W.K.",2017-10-11,2020-06-13,ssRNA(+)
OV535440,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29890,partial,United Kingdom:England,Homo sapiens,,"VanSteenhouse,H., Kasai,Y., Gray,D., Clugston,C., Dominiczak,A., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2021-12-11,2022-01-17,ssRNA(+)
OV284824,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,BE-SRO-500005_6162,29890,partial,Switzerland:BE,Homo sapiens,,,2021-12-03,2021-12-18,ssRNA(+)
OV196296,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29695,partial,Germany:Europe/Germany/Baden-Wurttemberg,Homo sapiens,,,2021-11-25,2021-12-15,ssRNA(+)
MH130663,Influenza B virus,Betainfluenzavirus influenzae,,EPI_ISL_292698,1062,partial,USA: New Jersey,Homo sapiens,,"Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.",2017-12-23,2018-04-02,ssRNA(-)
OU879661,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29888,partial,United Kingdom:England,Homo sapiens,,"Wynn,J., Hyland,M., The Lighthouse Lab in Alderley,Park., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2021-10-10,2021-10-23,ssRNA(+)
MH597859,Influenza A virus,Alphainfluenzavirus influenzae,H10N7,,1436,partial,USA: New Jersey,Arenaria interpres,feces,"Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Hu,L., Christensen,J., Miller,J., Durbin,A., Williams,T., Poulson,R., Stallknecht,D.",2001-05-23,2018-07-16,ssRNA(-)
FJ913895,Norovirus Hu/GII/Seoul0077/2008/KR,Norovirus norwalkense,,,285,partial,South Korea,Homo sapiens,feces,"Chung,J.Y., Han,T.H., Park,S.H., Kim,S.W., Hwang,E.S.",2008-01-07,2009-12-31,ssRNA(+)
ON519194,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,PA-CDC-STM-Q4SYYY5XK,29817,complete,USA: Pennsylvania,Homo sapiens,oronasopharynx,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.",2022-05-01,2022-05-16,ssRNA(+)
MT348889,Human immunodeficiency virus 1,Lentivirus humimdef1,,20N_2013.8,552,partial,Ukraine: Odessa,Homo sapiens,,"Vasylyeva,T.I., Zarebski,A., Smyrnov,P., Williams,L.D., Korobchuk,A., Liulchuk,M., Zadorozhna,V., Nikolopoulos,G., Paraskevis,D., Schneider,J., Skaathun,B., Pybus,O.G., Friedman,S.R.",2013,2020-05-10,ssRNA-RT
JX008956,Echovirus E30,Enterovirus betacoxsackie,,08F22759,288,partial,Denmark,Homo sapiens,,"Midgley,S., Fonager,J., Bottiger,B.",2008,2012-09-30,ssRNA(+)
OX279068,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29861,partial,Denmark:Syddanmark,Homo sapiens,,"Danish Covid-19 Genome,Consortium.",2022-07-30,2022-08-20,ssRNA(+)
OW577561,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29890,partial,Denmark:Hovedstaden,Homo sapiens,,"Danish Covid-19 Genome,Consortium.",2021-11-21,2022-04-30,ssRNA(+)
AY059399,Grouper iridovirus,Ranavirus epinephelus1,,,847,partial,Taiwan,Epinephelus sp.,,"Chao,C.-B., Chen,C.-Y.",,2001-11-12,dsDNA
OM379579,Human immunodeficiency virus 1,Lentivirus humimdef1,,SDS4,192,partial,Spain,Homo sapiens,,"Hendricks,C.M., Cash,M.N., Tagliamonte,M.S., Riva,A., Brander,C., Llano,A., Salemi,M., Stevenson,M., Mavian,C.",1995-03-28,2022-04-27,ssRNA-RT
OL717586,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,MA-CDCBI-CRSP_FQJZMGCYCWENATZX,29844,complete,USA: Massachusetts,Homo sapiens,,"Lemieux,J.E., Siddle,K.J., Shaw,B., Adams,G., Pierce,V., Turbett,S., Anahtar,M., Branda,J., Slater,D., Harris,J., Lin,A.E., Gladden-Young,A., Lagerborg,K., Rudy,M., DeRuff,K., Carter,A., Normandin,E., Bauer,M., Reilly,S., Tomkins-Tinch,C., Loreth,C., Chaluvadi,S., Neumann,A., Cusick,C., Chapman,S.B., Gnirke,A., Flowers,K., Cerrato,F., Birren,B.W., Gallagher,G., Smole,S., Park,D.J., MacInnis,B.L., Ryan,E., LaRocque,R., Rosenberg,E., Sabeti,P.C.",2021-11-20,2021-12-04,ssRNA(+)
PV833459,Equine rotavirus B,Rotavirus betagastroenteritidis,,,2277,partial,USA: KY,Equus caballus,feces,"Gamage,C., Graves,A., Li,G., Thieulent,C.J., Balasuriya,U.B.R., Morrow,J., Vissani,M.A., Parreno,V., Matthijnssens,J., Carossino,M.",2024-05-02,2025-07-19,dsRNA
MT191020,Human immunodeficiency virus 1,Lentivirus humimdef1,,605_CMV_AIM_E9,9115,complete,USA,Homo sapiens,blood,"Mendoza,P., Jackson,J.R., Oliveira,T.Y., Gaebler,C., Ramos,V., Caskey,M., Jankovic,M., Nussenzweig,M.C., Cohn,L.B.",2018,2020-04-13,ssRNA-RT
OU562672,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29884,partial,United Kingdom:England,Homo sapiens,,"Randox,Laboratories., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2021-05-06,2021-08-22,ssRNA(+)
OX490641,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29887,complete,United Kingdom:Northern_Ireland,Homo sapiens,,,2021-08-22,2023-05-01,ssRNA(+)
MW107411,Influenza A virus,Alphainfluenzavirus influenzae,mixed,11.26_FZHX0162-C,982,partial,China: Fujian,Anatidae,feces,"Bi,Y., Li,J., Li,S., Fu,G., Jin,T., Zhang,C., Yang,Y., Ma,Z., Tian,W., Xiao,S., Li,L., Yin,R., Zhang,Y., Wang,L., Qin,Y., Yao,Z., Meng,F., Hu,D., Li,D., Wong,G., Liu,F., Lv,N., Fu,L., Peng,Y., Ma,J., Sharshov,K., Shestopalov,A., Gulyaeva,M., Gao,G.F., Chen,J., Shi,Y., Liu,W.J., Chu,D., Huang,Y., Liu,Y., Liu,L., Liu,W., Chen,Q., Shi,W.",2018-11-26,2020-10-19,ssRNA(-)
OY447450,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29890,complete,United Kingdom:Wales,Homo sapiens,,,2021-12-16,2023-07-25,ssRNA(+)
OU307375,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29890,partial,United Kingdom:England,Homo sapiens,,"Wynn,J., Hyland,M., The Lighthouse Lab in Alderley,Park., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2021-05-30,2021-07-05,ssRNA(+)
PP783772,GB virus C,Pegivirus hominis,,A124,9383,partial,Denmark,,blood,"Fahnoe,U., Madsen,L.W., Christensen,P.B., Solund,C.S., Mollerup,S., Pinholt,M., Weis,N., Ovrehus,A., Bukh,J.",2017-11-23,2024-07-21,ssRNA(+)
OK615012,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,TX-CDC-ASC210091275,29787,partial,USA: Texas,Homo sapiens,oronasopharynx,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2021-09-22,2021-10-25,ssRNA(+)
MG184022,Human immunodeficiency virus 1,Lentivirus humimdef1,,PatT6day1clone_091_R,291,partial,,Homo sapiens,,"Lewis,M.E., Mori,J., Toma,J., Mosley,M., Huang,W., Simpson,P., Mansfield,R., Craig,C., van der Ryst,E., Robertson,D.L., Whitcomb,J.M., Westby,M.",,2018-07-31,ssRNA-RT
OM616491,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,FL-BPHL-20411,29458,partial,USA: FL,Homo sapiens,,"Schmedes,S., Tarigopula,N., Splatt,T., Blanton,J.",2021-12-28,2022-02-08,ssRNA(+)
OK332786,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,OH-GD-092121-121,29803,partial,USA,Homo sapiens,oronasopharynx,"Diagnostics,G.",2021-09-06,2021-09-29,ssRNA(+)
OL561100,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,CA-CDC-ASC210493813,29818,partial,USA: California,Homo sapiens,,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2021-10-22,2021-11-19,ssRNA(+)
OX110212,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29835,partial,United Kingdom:England,Homo sapiens,,"Fraser,D., Lee,S., Howes,R., The Rosalind Franklin,Laboratory., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2022-06-14,2022-07-05,ssRNA(+)
KJ501392,West Nile virus,Orthoflavivirus nilense,,WNV-1/US/BID-V6648/2003,10971,complete,USA,Pelecanus erythrorhynchos,feather,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",2003,2014-06-30,ssRNA(+)
PP625365,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,MA-MASPHL-12769,29788,complete,USA,Homo sapiens,oronasopharynx,"Doucette,M., Fortes,E., Bhattacharyya,S., Epie,N.",2024-02-05,2024-04-10,ssRNA(+)
OK011425,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,MO-CDC-ASC210273148,29811,partial,USA: Missouri,Homo sapiens,oronasopharynx,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2021-08-04,2021-09-02,ssRNA(+)
OV206722,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29890,partial,United Kingdom:England,Homo sapiens,,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2021-11-17,2021-12-15,ssRNA(+)
PV895335,Influenza B virus,Betainfluenzavirus influenzae,,,1154,partial,USA: District of Columbia,Homo sapiens,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.",2025-04-24,2025-07-08,ssRNA(-)
PV286255,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,EPI_ISL_19724403,1002,partial,USA: Colorado,Homo sapiens,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.",2025-01-20,2025-03-14,ssRNA(-)
OW089054,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29873,partial,United Kingdom:Scotland,Homo sapiens,,"VanSteenhouse,H., Kasai,Y., Gray,D., Clugston,C., Dominiczak,A., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2022-02-21,2022-03-09,ssRNA(+)
AB081036,Hepacivirus hominis,Hepacivirus hominis,,,336,partial,,,,"Kurbanov,F.M., Tanaka,Y., Orito,E., Mizokami,M., Ruzybakiev,R.M., Kurbanov,F.",,2002-08-06,ssRNA(+)
OY670440,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29844,partial,United Kingdom:England,Homo sapiens,,"VanSteenhouse,H., Kasai,Y., Gray,D., Clugston,C., Dominiczak,A., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2022-03-29,2023-08-02,ssRNA(+)
ON461493,human metapneumovirus,Metapneumovirus hominis,A2.1,,816,partial,Netherlands,Homo sapiens,oronasopharynx,"Meijer,A., van der Veer,B., Then,E.",2009-02-12,2022-11-27,ssRNA(-)
OM059595,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,CO-CDPHE-2102268107,29764,complete,USA,Homo sapiens,,"Bankers,L., Hetherington-Rauth,M.C., Ir,D., Rossheim,A., Martin,M.A., Waters,M., Smith,A., Matzinger,S.R., Travanty,E.A.",2021-11-15,2021-12-29,ssRNA(+)
OY821033,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29879,partial,Denmark:Syddanmark,Homo sapiens,,"Danish Covid-19 Genome,Consortium.",2022-11-28,2023-12-03,ssRNA(+)
PV979341,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,CA-LACPHL-AY12576,29706,partial,USA: California,Homo sapiens,,"Fox,E.B., Garrigues,J.M., Green,N.M.",2025-06-28,2025-07-23,ssRNA(+)
OV488281,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29740,partial,Germany:Europe/Germany/North Rhine-Westphalia,Homo sapiens,,,2021-12-13,2022-01-14,ssRNA(+)
ON150990,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,OR-CDC-LC0568178,28397,partial,USA: Oregon,Homo sapiens,oronasopharynx,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",2022-03-17,2022-04-05,ssRNA(+)
OP910783,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,NY-CDC-STM-VJCBVP3BF,29800,partial,USA: New York,Homo sapiens,oronasopharynx,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.",2022-11-10,2022-11-29,ssRNA(+)
OK622704,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,TN-CDC-ASC210284902,29823,partial,USA: Tennessee,Homo sapiens,oronasopharynx,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2021-09-19,2021-10-25,ssRNA(+)
MW748268,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,SC-COVID21-0381,29818,partial,"USA: SC, BARNWELL",Homo sapiens,oronasopharynx,"Flores,H., Freeman,J.",2021-02-10,2021-03-15,ssRNA(+)
PX264994,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,MIS-L385777916,838,partial,USA: Michigan,Homo sapiens,,"Lauring,A.S., Papalambros,L.K.",2025-01-31,2025-09-03,ssRNA(-)
OY023452,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29626,partial,Germany:Europe/Germany/Baden-Wurttemberg,Homo sapiens,,,2022-09-27,2023-06-22,ssRNA(+)
KF260276,Influenza A virus (A/common teal/Hong Kong/MPD322/2007(H11N9)),Alphainfluenzavirus influenzae,H11N9,,2151,partial,China,Anas crecca,,"Lam,T.T., Wang,J., Shen,Y., Zhou,B., Duan,L., Cheung,C.L., Ma,C., Lycett,S.J., Leung,C.Y., Chen,X., Li,L., Hong,W., Chai,Y., Zhou,L., Liang,H., Ou,Z., Liu,Y., Farooqui,A., Kelvin,D.J., Poon,L.L., Smith,D.K., Pybus,O.G., Leung,G.M., Shu,Y., Webster,R.G., Webby,R.J., Peiris,J.S., Rambaut,A., Zhu,H., Guan,Y., Lam,T.T.Y., Leung,C.Y.H., Poon,L.L.M., Peiris,J.S.M.",2007,2013-08-21,ssRNA(-)
OU839743,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29890,partial,United Kingdom:England,Homo sapiens,,"Wynn,J., Hyland,M., The Lighthouse Lab in Alderley,Park., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2021-10-01,2021-10-21,ssRNA(+)
KX257609,Feline calicivirus,Vesivirus felis,,NL0422_13,420,partial,Netherlands,Felis catus,oronasopharynx,"Afonso,M.M., Pinchbeck,G.L., Bonner,S.L., Daly,J.M., Dawson,S., Gaskell,R.M., Radford,A.D.",2013,2016-11-01,ssRNA(+)
FJ859671,Human immunodeficiency virus 1,Lentivirus humimdef1,,ZM2953Mother39m26,984,partial,Zambia,Homo sapiens,,"Hoffmann,F.G., He,X., West,J.T., Lemey,P., Kankasa,C., Wood,C.",2003-11-28,2009-04-25,ssRNA-RT
OR397628,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,CA-LACPHL-AF21581,29649,partial,USA,Homo sapiens,,"Garrigues,J.M., Hemarajata,P., Green,N.M.",2023-03-31,2023-08-04,ssRNA(+)
GQ374537,human papillomavirus 33,Alphapapillomavirus 9,,2,450,partial,Canada,Homo sapiens,,"Gagnon,S., Hankins,C., Tremblay,C., Forest,P., Pourreaux,K., Coutlee,F., Khouadri,S., Villa,L.L., Koushik,A., Richardson,H., Ferreira,S., Tellier,P., Simao,J., Matlashewski,G., Roger,M., Franco,E.L.",,2009-08-25,dsDNA
ON065102,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,PR-UPRRP-5352,29321,partial,Puerto Rico,Homo sapiens,oronasopharynx,"Van Belleghem,S., Papa,R., Planas,S., Ortiz,Y., Zenon,C., Cora Huertas,L., Candelaria Velez,I., Cruz,M., Rodriguez Orengo,J., Godoy,F., Carlos Velez,J., Sariol,C.",2021-11-26,2022-03-25,ssRNA(+)
OV946083,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29873,partial,United Kingdom:England,Homo sapiens,,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2022-02-05,2022-02-23,ssRNA(+)
KX927008,Human immunodeficiency virus 1,Lentivirus humimdef1,,PID1-121802-3,1105,partial,USA,Homo sapiens,,"Kearney,M.F., Spindler,J., Shao,W., Yu,S., Anderson,E.M., O'Shea,A., Rehm,C., Poethke,C., Kovacs,N., Mellors,J.W., Coffin,J.M., Maldarelli,F., Kearney,M., Anderson,E., Mellors,J., Coffin,J.",2002-12-18,2016-12-12,ssRNA-RT
OP650632,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,NJ-PHEL-V22044573,29645,partial,USA,Homo sapiens,,"Schwem,B., Verma,S.K., Markos,S., Bodnar,L., Filippo,C.S., Ali,M., Pugliese,M.-M., Woell,D., Jeong,B.S.",2022-10-03,2022-10-17,ssRNA(+)
AM285722,Hepatitis C virus subtype 1b,Hepacivirus hominis,,Pt1-9,573,partial,,,,"Morice,Y., Miladi,A., Lavergne,J.P., Germanidis,G., Pagkalos,E., Sakellariou,G., Penin,F., Pawlotsky,J.M.",,2006-11-15,ssRNA(+)
